ma plantID,pa plantID,fuzzy_cl,num_cl,fungus,polltn_note,datetime,observer,harvest
17R4607:0021202,17R4607:0021202,tqe,,,,09/24/2017 12:00:00,josh,
17R4607:0021204,17R4607:0021204,tqe,,,,09/24/2017 12:00:00,josh,
17R4608:0021301,17R4608:0021301,we,,,,09/24/2017 12:00:00,josh,
17R4608:0021303,17R4608:0021303,we,,,,09/24/2017 12:00:00,josh,
17R4608:0021308,17R4608:0021308,we,,,,09/24/2017 12:00:00,josh,
17R4608:0021309,17R4608:0021309,we,,,,09/24/2017 12:00:00,josh,
17R4609:0021405,17R4609:0021405,we,,,,09/24/2017 12:00:00,josh,
17R4609:0021407,17R4609:0021407,tqe,,,,09/24/2017 12:00:00,josh,
17R4581:0021502,17R4581:0021502,we,,,,09/24/2017 12:00:00,josh,
17R4581:0021503,17R4581:0021503,tqe,,,,09/24/2017 12:00:00,josh,
17R4581:0021506,17R4581:0021506,tqe,,,,09/24/2017 12:00:00,josh,
17R4581:0021511,17R4581:0021511,we,,,,09/24/2017 12:00:00,josh,
17R4582:0021602,17R4582:0021602,we,,,,09/24/2017 12:00:00,josh,
17R4582:0021603,17R4582:0021603,we,,,,09/24/2017 12:00:00,josh,
17R4582:0021604,17R4582:0021604,tqe,,,,09/24/2017 12:00:00,josh,
17R4583:0021701,17R4583:0021703,tqe,,,,09/24/2017 12:00:00,josh,
17R4583:0021703,17R4583:0021703,we,,,,,09/24/2017 12:00:00,josh,
17R4583:0021704,17R4583:0021704,tqe,,,,09/24/2017 12:00:00,josh,
17R4584:0021801,17R4584:0021801,tqe,,,,09/24/2017 12:00:00,josh,
17R4584:0021802,17R4584:0021802,we,,,,09/24/2017 12:00:00,josh,
17R4584:0021804,17R4584:0021804,we,,,,09/24/2017 12:00:00,josh,
17R4585:0021905,17R4585:0021905,we,,,,09/24/2017 12:00:00,josh,
17R4585:0021907,17R4585:0021907,we,,,,09/24/2017 12:00:00,josh,
17R4585:0021913,17R4585:0021913,we,,,,09/24/2017 12:00:00,josh,
17R4586:0022007,17R4586:0022007,tqe,,,,09/24/2017 12:00:00,josh,
17R4586:0022008,17R4586:0022008,tqe,,,,09/24/2017 12:00:00,josh,
17R4586:0022010,17R4586:0022010,we,,,,09/24/2017 12:00:00,josh,
17R4587:0022111,17R4587:0022111,we,,,,09/24/2017 12:00:00,josh,
17R4587:0022112,17R4587:0022112,tqe,,,,09/24/2017 12:00:00,josh,
17R4587:0022113,17R4587:0022113,we,,,,09/24/2017 12:00:00,josh,
17R4588:0022201,17R4588:0022201,we,,,,09/24/2017 12:00:00,josh,
17R4588:0022204,17R4588:0022204,we,,,,09/24/2017 12:00:00,josh,
17R4588:0022212,17R4588:0022212,we,,,,09/24/2017 12:00:00,josh,
17R4589:0022302,17R4589:0022302,tqe,,,,09/24/2017 12:00:00,josh,
17R4589:0022303,17R4589:0022303,we,,,,09/24/2017 12:00:00,josh,
17R4589:0022304,17R4589:0022304,we,,,,09/24/2017 12:00:00,josh,
17R4590:0022403,17R4590:0022403,we,,,,09/24/2017 12:00:00,josh,
17R4590:0022404,17R4590:0022404,he,,,,09/24/2017 12:00:00,josh,
17R4590:0022405,17R4590:0022405,we,,,,09/24/2017 12:00:00,josh,
17R4591:0022506,17R4591:0022506,we,,,,09/24/2017 12:00:00,josh,
17R4591:0022509,17R4591:0022509,we,,,,09/24/2017 12:00:00,josh,
17R4591:0022511,17R4591:0022511,we,,,,09/24/2017 12:00:00,josh,
17R4592:0022609,17R4592:0022609,we,,,,09/24/2017 12:00:00,josh,
17R4592:0022611,17R4592:0022611,tqe,,,,09/24/2017 12:00:00,josh,
17R4592:0022613,17R4592:0022613,we,,,,09/24/2017 12:00:00,josh,
17R4615:0022701,17R4615:0022701,tqe,,,,09/24/2017 12:00:00,josh,
17R4615:0022706,17R4615:0022706,we,,,,09/24/2017 12:00:00,josh,
17R4615:0022708,17R4615:0022708,we,,,,09/24/2017 12:00:00,josh,
17R4593:0022802,17R4593:0022802,we,,,,09/24/2017 12:00:00,josh,
17R4593:0022803,17R4593:0022803,we,,,,09/24/2017 12:00:00,josh,
17R4593:0022807,17R4593:0022807,we,,,,09/24/2017 12:00:00,josh,
17R4593:0022808,17R4593:0022808,we,,,,09/24/2017 12:00:00,josh,
17R4594:0022902,17R4594:0022902,we,,,,09/24/2017 12:00:00,josh,
17R4594:0022903,17R4594:0022903,tqe,,,,09/24/2017 12:00:00,josh,
17R4594:0022909,17R4594:0022909,we,,,,09/24/2017 12:00:00,josh,
17R4610:0023002,17R4610:0023002,we,,,,09/24/2017 12:00:00,josh,
17R4610:0023003,17R4610:0023003,we,,,,09/24/2017 12:00:00,josh,
17R4610:0023006,17R4610:0023006,tqe,,,,09/24/2017 12:00:00,josh,
17R0688:0023106,17R0688:0023106,he,,,,09/24/2017 12:00:00,josh,
17R0688:0023113,17R0688:0023113,he,,,,09/24/2017 12:00:00,josh,
17R0689:0023203,17R0689:0023203,tqe,,,,09/24/2017 12:00:00,josh,
17R0689:0023210,17R0689:0023210,tqe,,,,09/24/2017 12:00:00,josh,
17R0689:0023212,17R0689:0023212,he,,,,09/24/2017 12:00:00,josh,
17R4611:0023402,17R4611:0023402,tqe,,,,09/24/2017 12:00:00,josh,
17R4611:0023403,17R4611:0023403,tqe,,,,09/24/2017 12:00:00,josh,
17R4611:0023405,17R4611:0023405,we,,,,09/24/2017 12:00:00,josh,
17R4612:0023502,17R4612:0023502,tqe,,,,09/24/2017 12:00:00,josh,
17R4612:0023509,17R4612:0023509,we,,,,09/24/2017 12:00:00,josh,
17R4613:0023603,17R4613:0023603,tqe,,,,09/24/2017 12:00:00,josh,
17R4613:0023606,17R4613:0023606,tqe,,,,09/24/2017 12:00:00,josh,
17R4613:0023611,17R4613:0023611,we,,,,09/24/2017 12:00:00,josh,
17R4614:0023802,17R4614:0023802,tqe,,,,09/24/2017 12:00:00,josh,
17R4614:0023807,17R4614:0023807,we,,,,09/24/2017 12:00:00,josh,
17R4614:0023815,17R4614:0023815,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001101,17R4539:0017501,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001102,17R4626:0015704,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001103,17R4626:0015704,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001104,17R4544:0017802,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001106,17R4544:0017812,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001107,17R4544:0017812,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001110,17501,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001111,17501,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001112,17R4543:0017914,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001113,17R4543:0017914,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001114,17R4011:0018002,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001115,17R4011:0018002,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001116,17R4011:0018002,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001117,17R4543:0017901,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001202,17R4562:0016805,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001203,17R4562:0016805,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001204,17R4545:0018105,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001205,17R4562:0016808,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001206,17R4545:0018105,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001207,17R4562:0016808,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001208,17R4545:0018105,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001209,17R4543:0017901,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001210,17R4625:0015809,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001211,17R4625:0015809,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001212,17R4625:0015804,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001214,15704,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001215,17R4625:0015804,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001216,15704,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001217,16204,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001218,16204,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001219,16203,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001307,17R4539:0017501,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001311,17R4419:0011113,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001317,16203,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001401,17R4419:0011112,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001410,17R4419:0011113,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001418,11112,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001501,11014,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001502,17R2252:0011020,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001504,17R2252:0011014,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001508,17R2252:0011014,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001509,17R4419:0011112,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001510,17R2252:0011014,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001511,11020,he,,,,09/24/2017 12:00:00,josh,
17R205:S0001512,17R2252:0011020,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001513,11020,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001514,17R4545:0018107,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001516,17R4419:0011113,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0001517,17R4419:0011112,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0003301,18107,he,,,,09/24/2017 12:00:00,josh,
17R205:S0003302,17R4419:0011134,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0003303,11001,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0003306,18107,,22,,,09/24/2017 12:00:00,josh,
17R205:S0003307,18107,qe,,,,09/24/2017 12:00:00,josh,
17R205:S0003308,17R4545:0018107,qe,,,,09/24/2017 12:00:00,josh,
17R205:S0003309,17R4419:0011128,he,,,,09/24/2017 12:00:00,josh,
17R205:S0003316,11132,qe,,,,09/24/2017 12:00:00,josh,
17R205:S0003317,11132,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0003405,17R4419:0011134,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0003407,11001,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0003408,17R2252:0011001,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0003410,17R4545:0018107,he,,,,09/24/2017 12:00:00,josh,
17R205:S0003411,11019,tqe,,,,09/24/2017 12:00:00,josh,
17R205:S0003412,11019,tqe,,,,09/24/2017 12:00:00,josh,
