plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,observer,datetime,mutanta
16R4487:0006305,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006304,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006307,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006303,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006302,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4487:0006301,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006213,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006212,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006211,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006210,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006209,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006208,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006208,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006208:0006207,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006208:0006206,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006208:0006205,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006208:0006204,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006208:0006203,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006208:0006202,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4486:0006208:0006201,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006401,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006402,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006403,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006405,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006404,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006406,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006407,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006408,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006409,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006410,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006411,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006412,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006413,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4488:0006414,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4489:0006501,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4489:0006502,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4489:0006503,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4489:0006504,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4489:0006505,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4489:0006506,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4489:0006507,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4489:0006508,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4489:0006509,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4489:0006510,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4489:0006511,1,0,0,0,0,shorter_by_3_ft, , ,,toni,07/17/2016 12:00:00,
16R4489:0006512,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
6513,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004315,0,1,1,1,1,shorter_by_1_ft, , ,,toni,07/17/2016 12:00:00,
16R4467:0004314,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004313,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004312,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004311,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004310,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004309,0,1,1,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004308,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004307,0,1,1,1,1, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004306,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004305,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004304,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004303,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004302,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4467:0004301,0,1,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4468:0004401,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4468:0004402,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4468:0004403,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4468:0004404,0,1,0,0,0,shorter_by_3_ft, ,no ear,,toni,07/17/2016 12:00:00,
16R4468:0004405,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4468:0004406,0,1,0,0,0,shorter_by_2_ft, ,no ear,,toni,07/17/2016 12:00:00,
16R4468:0004407,0,1,0,0,0,shorter_by_4_ft, ,no ear,,toni,07/17/2016 12:00:00,
16R4468:0004408,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4468:0004409,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4468:0004410,0,1,1,1,1,shorter_by_1_ft, ,small ear,,toni,07/17/2016 12:00:00,
16R4468:0004411,0,1,1,1,1,shorter_by_1_ft, ,small ear,,toni,07/17/2016 12:00:00,
16R4468:0004411:0004412,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4468:0004411:0004413,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004501,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
