plantID,ht cm,datetime,observer,num_leaves,leaf_num_first_ear,num_tillers,plant_anatomy
15R205:S0002508,124,08/28/2015 10:00:00,toni,,,,
15R205:S0002608,107,08/28/2015 10:00:00,toni,,,,
15R205:S0002607,115,08/28/2015 10:00:00,toni,,,,
15R205:S0002606,112,08/28/2015 10:00:00,toni,,,,
15R305:W0002701,136,08/28/2015 10:00:00,toni,,,,
15R305:W0002704,163,08/28/2015 10:00:00,toni,,,,
15R305:W0002705,162,08/28/2015 10:00:00,toni,,,,
15R305:W0002707,169,08/28/2015 10:00:00,toni,,,,
15R305:W0002811,184,08/28/2015 10:00:00,toni,,,,
15R305:W0002810,185,08/28/2015 10:00:00,toni,,,,
15R305:W0002809,131,08/28/2015 10:00:00,toni,,,,
15R305:W0002808,172,08/28/2015 10:00:00,toni,,,,
15R305:W0002807,185,08/28/2015 10:00:00,toni,,,,
15R305:W0002805,175,08/28/2015 10:00:00,toni,,,,
15R305:W0002804,172,08/28/2015 10:00:00,toni,,,,
15R305:W0002803,184,08/28/2015 10:00:00,toni,,,,
15R305:W0002802,172,08/28/2015 10:00:00,toni,,,,
15R305:W0002902,177,08/28/2015 10:00:00,toni,,,,
15R305:W0003016,162,08/28/2015 10:00:00,toni,,,,
15R305:W0003014,182,08/28/2015 10:00:00,toni,,,,
15R305:W0003010,177,08/28/2015 10:00:00,toni,,,,
15R305:W0003009,171,08/28/2015 10:00:00,toni,,,,
15R305:W0003008,191,08/28/2015 10:00:00,toni,,,,
15R305:W0003007,175,08/28/2015 10:00:00,toni,,,,
15R305:W0003006,172,08/28/2015 10:00:00,toni,,,,
15R305:W0003005,187,08/28/2015 10:00:00,toni,,,,
15R305:W0003004,178,08/28/2015 10:00:00,toni,,,,
15R305:W0003003,180,08/28/2015 10:00:00,toni,,,,
15R305:W0003101,169,08/28/2015 10:00:00,toni,,,,
15R305:W0003102,172,08/28/2015 10:00:00,toni,,,,
15R305:W0003103,172,08/28/2015 10:00:00,toni,,,,
15R305:W0003106,178,08/28/2015 10:00:00,toni,,,,
15R305:W0003107,185,08/28/2015 10:00:00,toni,,,,
15R305:W0003108,171,08/28/2015 10:00:00,toni,,,,
15R305:W0003109,125,08/28/2015 10:00:00,toni,,,,
15R305:W0003110,178,08/28/2015 10:00:00,toni,,,,
15R305:W0003111,176,08/28/2015 10:00:00,toni,,,,
15R305:W0003113,171,08/28/2015 10:00:00,toni,,,,
15R305:W0003114,179,08/28/2015 10:00:00,toni,,,,
15R305:W0003115,180,08/28/2015 10:00:00,toni,,,,
15R305:W0003116,180,08/28/2015 10:00:00,toni,,,,
15R305:W0003117,90,08/28/2015 10:00:00,toni,,,,
15R305:W0003208,172,08/28/2015 10:00:00,toni,,,,
15R305:W0003205,165,08/28/2015 10:00:00,toni,,,,
15R305:W0003204,194,08/28/2015 10:00:00,toni,,,,
15R305:W0003203,170,08/28/2015 10:00:00,toni,,,,
15R305:W0003202,175,08/28/2015 10:00:00,toni,,,,
15R305:W0003201,169,08/28/2015 10:00:00,toni,,,,
15R405:M0003301,138,08/28/2015 10:00:00,toni,,,,
15R405:M0003302,123,08/28/2015 10:00:00,toni,,,,
15R405:M0003303,109,08/28/2015 10:00:00,toni,,,,
15R405:M0003304,128,08/28/2015 10:00:00,toni,,,,
15R405:M0003306,128,08/28/2015 10:00:00,toni,,,,
15R405:M0003307,135,08/28/2015 10:00:00,toni,,,,
15R405:M0003308,110,08/28/2015 10:00:00,toni,,,,
15R405:M0003309,103,08/28/2015 10:00:00,toni,,,,
15R405:M0003310,116,08/28/2015 10:00:00,toni,,,,
15R405:M0003311,138,08/28/2015 10:00:00,toni,,,,
15R405:M0003414,139,08/28/2015 10:00:00,toni,,,,
