
% should be clean, placed into /athe/c/maize/data/palm/raw_data_from_palm/13r/reinventory/inventory.pl
%
% Kelly 13.3.2014

"06R0068:0006808","06R0068:0006811","he",,"v00","wade","01/14/2014 8:53:35"
"06R0069:0006910","06R0069:0006908","qe",,"v00","wade","01/14/2014 8:53:35"
"06R0069:0006913","06R0069:0006906","qe",,"v00","wade","01/14/2014 8:53:35"
"06R0070:0007001","06R0070:0007003","he",,"v00","wade","01/14/2014 8:53:35"
"06R0070:0007008","06R0070:0007004","tqe",,"v00","wade","01/14/2014 8:53:35"
"06R0070:0007013","06R0070:0007011","he",,"v00","wade","01/14/2014 8:53:35"
"06R0072:0007201","06R0072:0007205","tqe",,"v00","wade","01/14/2014 8:53:35"
"06R0072:0007202","06R0072:0007206","tqe",,"v00","wade","01/14/2014 8:53:35"
"06R0072:0007210","06R0072:0007207","qe",,"v00","wade","01/14/2014 8:53:35"
"06R0074:0007401","06R0074:0007408","tqe",,"v00","wade","01/14/2014 8:53:35"
"06R0074:0007409","06R0074:0007414","fuzzy_cl",7,"v00","wade","01/14/2014 8:53:35"
"06R0075:0007501","06R0075:0007501","we",7,"v00","wade","01/14/2014 9:33:33"
"06R0078:0007808","06R0078:0007807","fuzzy_cl",27,"v00","wade","01/14/2014 8:53:35"
"06R0007:0000711","06R007:0000709","he",,"v00","wade","01/14/2014 9:06:54"
"06R0082:0008205","06R0082:0008203","fuzzy_cl",4,"v00","wade","01/14/2014 8:53:35"
"06R0083:0008303","06R0083:0008302","fuzzy_cl",1,"v00","wade","01/14/2014 8:53:35"
"06R0091:0009101","06R0091:0009108","we",,"v00","wade","01/14/2014 8:53:35"
"06R0091:0009105","06R0091:0009104","we",,"v00","wade","01/14/2014 8:53:35"
"06R0091:0009112","06R0091:0009110","tqe",,"v00","wade","01/14/2014 8:53:35"
"06R0094:0009401","06R0094:0009406","ee",,"v00","wade","01/14/2014 8:53:35"
"06R0094:0009404","06R0094:0009404","qe",,"v00","wade","01/14/2014 8:53:35"
"06R0094:0009408","06R0094:0009412","he",,"v00","wade","01/14/2014 8:53:35"
"06R0105:0010501","06R0105:0010503","he",,"v00","wade","01/14/2014 8:53:35"
"06R0106:0010610","06R0106:0010607","he",,"v00","wade","01/14/2014 8:53:35"
"06R0106:0010612","06R0106:0010613","qe",,"v00","wade","01/14/2014 8:53:35"
"06R0109:0010908","06R0109:0010912","fuzzy_cl",15,"v00","wade","01/14/2014 8:53:35"
"06R0110:0011003","06R0111:0011007","fuzzy_cl",1,"v00","wade","01/14/2014 8:53:35"
"06R0110:0011005","06R0110:0011003","qe",,"v00","wade","01/14/2014 8:53:35"
"06R0111:0011102","06R0111:0011104","fuzzy_cl",5,"v00","wade","01/14/2014 8:53:35"
"06R0111:0011106","06R0111:0011108","fuzzy_cl",2,"v00","wade","01/14/2014 8:53:35"
"06R0111:0011107","06R0111:0011112","fuzzy_cl",4,"v00","wade","01/14/2014 8:53:35"
