"a4:ad204","found Dec, 2007",,,,,"maternal gtype",,,,,"paternal gtype",,,,,,,,,,,,,,,,,,
"crop","offspring family","ma family","ma num gtype","pa family","pa num gtype","pma ma gma gtype","pma ma gpa gtype","pma pa gma gtype","pma pa mutant","ma quasi","ppa pa gma gtype","ppa ma gpa gtype","ppa pa gma gtype","ppa pa mutant","num bc","num oc","pa quasi","cross date","ear","est cl","counted cl","current cl count","packet","box","sleeve","inventory date","plant 07r","plan","notes"
"06R",,91,"06R0091:0009105",91,"06R0091:0009104","B73 Ht1","Mo17","+","+",,"B73 Ht1","Mo17","+","Les*-NA7145",0,0,"-K9104","7/11/2006","x",,,,,,,,,,
"06R",,91,"06R0091:0009112",91,"06R0091:0009110","B73 Ht1","Mo17","+","+",,"B73 Ht1","Mo17","+","Les*-NA7145",0,0,"-K9110","7/11/2006","x",,,,,,,,,,
"06R",,106,"06R0106:0010612",106,"06R0106:0010613","+","{+|lls1}","+","{+|lls1}",,"+","{+|lls1}","+","{+|lls1}",0,0,"-K10613","7/13/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I0113",78,"06R0078:0007808","Mo20W","Mo20W","Mo20W","Mo20W",,"?/les*-N2013","?","?/les*-N2013","?",0,1,"-K7808","7/17/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I0115",61,"06R0061:0006106","Mo20W","Mo20W","Mo20W","Mo20W",,"W23","L317","+","Les8-N2005",0,1,"-K6106","7/22/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I0403",78,"06R0078:0007801","Mo20W","Mo20W","Mo20W","Mo20W",,"?/les*-N2013","?","?/les*-N2013","?",0,1,"-K7801","7/17/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I0711",61,"06R0061:0006107","Mo20W","Mo20W","Mo20W","Mo20W",,"W23","L317","+","Les8-N2005",0,1,"-K6107","7/17/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1007",38,"06R0038:0003806","Mo20W","Mo20W","Mo20W","Mo20W",,"Les4 NonExp","?","?","Les4 Exp",0,1,"-K3806","7/24/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1009",87,"06R0087:0008709","Mo20W","Mo20W","Mo20W","Mo20W",,"les*-N2502","?","les*-N2502","?",0,1,"-K8709","7/24/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1010",87,"06R0087:0008710","Mo20W","Mo20W","Mo20W","Mo20W",,"les*-N2502","?","les*-N2502","?",0,1,"-K8710","7/24/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1011",40,"06R0040:0004003","Mo20W","Mo20W","Mo20W","Mo20W",,"Les6 NonExp","?","?","Les6 Exp",0,1,"-K4003","7/25/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1017",97,"06R0097:0009706","Mo20W","Mo20W","Mo20W","Mo20W",,"Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14",0,1,"-K9706","7/24/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1105",97,"06R0097:0009707","Mo20W","Mo20W","Mo20W","Mo20W",,"Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14",0,1,"-K9707","7/24/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1604",35,"06R0035:0003509","Mo20W","Mo20W","Mo20W","Mo20W",,"W23","+","W23","les23",0,1,"-K3509","7/15/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1611",11,"06R0011:0001113","Mo20W","Mo20W","Mo20W","Mo20W",,"Mo20W","+","Mo20W","Les13",1,0,"-K1113","7/16/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1904",75,"06R0075:0007501","Mo20W","Mo20W","Mo20W","Mo20W",,"les*-N1395C","?","les*-N1395C","?",0,1,"-K7501","7/22/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1906",4,"06R0004:0000401","Mo20W","Mo20W","Mo20W","Mo20W",,"Mo20W","+","Mo20W","Les6",1,0,"-K0401","7/15/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1907",76,"06R0076:0007604","Mo20W","Mo20W","Mo20W","Mo20W",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7604","7/22/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1908",17,"06R0017:0001703","Mo20W","Mo20W","Mo20W","Mo20W",,"Mo20W","+","Mo20W","lls1",1,0,"-K1703","7/16/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1909",4,"06R0004:0000403","Mo20W","Mo20W","Mo20W","Mo20W",,"Mo20W","+","Mo20W","Les6",1,0,"-K0403","7/15/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1911",76,"06R0076:0007616","Mo20W","Mo20W","Mo20W","Mo20W",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7616","7/22/2006","x",,,,,,,,,,
