plantID,sample num,datetime,observer,tissue_collectn
17R4566:0019203,e03473,8/2/17 7:27 PM,avi,
17R4569:0018706:0018709,e03474,8/2/17 7:27 PM,avi,
17R4547:0018304,e03475,8/2/17 7:27 PM,avi,
17R4566:0019209,e03476,8/2/17 7:27 PM,avi,
17R4566:0019213,e03477,8/2/17 7:27 PM,avi,
17R4524:0019603,e03478,8/2/17 7:27 PM,avi,
17R4568:0018611,e03479,8/2/17 8:13 PM,avi,
17R4567:0019523,e03480,8/2/17 8:13 PM,avi,
17R4522:0019419,3481,8/2/17 8:13 PM,avi,
17R4525:0018501,3482,8/2/17 8:13 PM,avi,
17R4565:0019102,3483,8/2/17 8:13 PM,avi,
17R4543:0017914,3484,8/2/17 8:13 PM,avi,
17R4522:0019425,3485,8/2/17 8:13 PM,avi,
17R4543:0017901,3486,8/2/17 8:13 PM,avi,
