plantID,wild_type,lesion,cross,photograph,sample,sample,stature,tassel,ear,other_phes,datetime,observer,mutanta
17R4557:0016504,1,0,0,0,0,0, , ,small ear,,07/25/2017 12:00:00,toni,
17R4557:0016505,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4557:0016506,0,1,1,1,0,0,shorter_by_1_ft, , ,,07/25/2017 12:00:00,toni,
17R4557:0016507,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4557:0016508,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4557:0016509,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4557:0016510,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4558:0016601,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4558:0016602,0,1,1,1,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4558:0016603,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4558:0016604,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4558:0016605,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4558:0016606,0,1,1,1,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4558:0016607,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4564:0016701,1,0,0,0,0,0,shorter_by_1_ft,no tassel, ,,07/25/2017 12:00:00,toni,
17R4564:0016702,1,0,0,0,0,0,shorter_by_2_ft,no tassel,no ear,,07/25/2017 12:00:00,toni,
17R4564:0016703,0,1,1,1,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4564:0016714,0,1,0,0,0,0, , , ,,08/09/2017 12:00:00,toni,
17R4564:0016704,0,1,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4564:0016705,0,1,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4564:0016706,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4564:0016707,0,1,1,1,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4564:0016708,0,1,1,1,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4564:0016709,0,1,0,0,0,0, , , ,,08/09/2017 12:00:00,toni,
17R4564:0016712,1,0,0,0,0,0,semi_dwarf,no tassel,no ear,,07/25/2017 12:00:00,toni,
17R4564:0016710,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4562:0016801,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4562:0016802,0,1,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4562:0016803,0,1,0,0,0,0, , , ,,08/09/2017 12:00:00,toni,
17R4562:0016804,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4562:0016805,0,1,1,1,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4562:0016806,0,1,0,0,0,0, , , ,,08/09/2017 12:00:00,toni,
17R4562:0016807,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4562:0016808,0,1,1,1,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4562:0016809,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4562:0016810,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4562:0016811,0,1,1,1,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4562:0016812,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4563:0016902,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4563:0016903,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4563:0016904,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4563:0016905,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4563:0016906,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4563:0016907,1,0,0,0,0,0, , ,small ear,,07/26/2017 12:00:00,toni,
17R4563:0016908,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4563:0016909,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4563:0016910,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
