"plantID","wild_type","lesion","cross","photograph","stature","tassel","ear","other_phenotypes","observer","datetime","mutanta"
"11N3438:0013405",0,1,0,0,"shorter_by_1ft",,"no ear",,"toni",,
"11N3438:0013406",0,1,1,1,"shorter_by_1ft",,"small ear",,"toni",,
"11N3438:0013407",0,1,1,1,"shorter_by_2ft",,"no ear",,"toni",,
"11N3438:0013409",1,0,0,0,0,,,,"toni",,
"11N3438:0013410",0,1,1,1,0,,"small ear",,"toni",,
"11N3257:0013501",1,0,0,0,0,,,,"toni",,
"11N3257:0013502",0,1,1,1,0,,"small ear",,"toni",,
"11N3257:0013503",0,1,1,1,0,,"small ear",,"toni",,
"11N3257:0013504",1,0,0,0,0,,,,"toni",,
"11N3257:0013507",0,1,1,1,0,,,,"toni",,
"11N3257:0013508",1,0,0,0,0,,,,"toni",,
"11N3439:0013602",0,1,0,0,"shorter_by_4ft",,,,"toni",,
"11N3439:0013603",0,1,1,1,"shorter_by_4ft",,,,"toni",,
"11N3439:0013604",0,1,1,1,"shorter_by_3ft",,"no ear",,"toni",,
"11N3439:0013605",0,1,0,0,"shorter_by_3ft",,"no ear",,"toni",,
"11N3439:0013606",0,1,1,1,"shorter_by_5ft",,,,"toni",,
"11N3439:0013607",1,0,0,0,0,,,,"toni",,
"11N3439:0013601",0,1,1,1,"shorter_by_3ft",,,,"toni",,
"11N3439:0013608",0,1,0,0,"shorter_by_3ft",,"no ear",,"toni",,
"11N3226:0013701",1,0,0,0,0,,"no ear",,"toni",,
"11N3226:0013702",0,1,0,0,0,,,,"toni",,
"11N3226:0013703",0,1,0,0,0,,,,"toni",,
"11N3226:0013704",0,1,0,0,0,,,,"toni",,
"11N3226:0013705",0,1,0,0,0,,"no ear",,"toni",,
"11N3226:0013707",0,1,0,0,"shorter_by_2ft",,"no ear",,"toni",,
"11N3226:0013708",0,1,1,1,0,,,,"toni",,
"11N3226:0013709",1,0,0,0,0,,,,"toni",,
"11N3226:0013710",0,1,0,0,0,,,,"toni",,
"11N3226:0013712",0,1,1,1,0,,,,"toni",,
"11N3226:0013713",0,1,0,0,0,,,,"toni",,
"11N3192:0013801",1,0,0,0,"shorter_by_2ft",,,,"toni",,
"11N3192:0013802",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3192:0013803",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3192:0013804",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3192:0013805",1,0,1,1,0,,,,"toni",,
"11N3192:0013806",1,0,0,0,0,,,,"toni",,
"11N3192:0013807",1,0,0,0,0,,,,"toni",,
"11N3192:0013808",0,1,0,0,0,,,,"toni",,
"11N3192:0013809",0,1,0,0,"shorter_by_1ft",,,,"toni",,
"11N3192:0013810",0,1,1,1,0,,,,"toni",,
"11N3192:0013811",0,1,0,0,0,,,,"toni",,
"11N3192:0013812",1,0,0,0,0,,,,"toni",,
"11N3422:0011004",0,1,0,0,"shorter_by_4ft",,,,"toni",01/28/2008 10:38:16,
"11N3332:0000101",0,1,0,1,0,,,,"toni",,
"11N3332:0000102",0,1,0,1,0,,,,"toni",,
"11N3332:0000103",0,1,0,1,0,,,,"toni",,
"11N3332:0000104",0,1,0,1,0,,,,"toni",,
"11N3332:0000105",0,1,0,1,"shorter_by_2ft",,,,"toni",,
"11N3333:0000201",0,1,0,1,0,,,,"toni",,
"11N3333:0000202",0,1,0,1,0,,,,"toni",,
"11N3333:0000203",0,1,0,1,0,,,,"toni",,
"11N3333:0000204",0,1,0,1,0,,,,"toni",,
"11N3333:0000205",0,1,0,1,0,,,,"toni",,
"11N3333:0000206",0,1,0,1,0,,,,"toni",,
"11N3333:0000207",1,0,0,0,0,,,,"toni",,
"11N3333:0000208",0,1,0,1,0,,,,"toni",,
"11N3333:0000209",0,1,0,1,0,,,,"toni",,
"11N3333:0000210",1,0,0,0,0,,,,"toni",,
"11N3333:0000211",0,1,0,1,0,,,,"toni",,
"11N3333:0000212",0,1,0,1,0,,,,"toni",,
"11N3333:0000213",0,1,0,1,0,,,,"toni",,
"11N3334:0000301",0,1,0,1,0,,,,"toni",,
"11N3334:0000302",0,1,0,1,0,,,,"toni",,
"11N3334:0000303",0,1,0,1,0,,,,"toni",,
"11N3334:0000304",0,1,0,1,0,,,,"toni",,
"11N3334:0000305",1,0,0,0,0,,,,"toni",,
"11N3334:0000306",0,1,0,1,0,,,,"toni",,
"11N3334:0000307",0,1,0,1,0,,,,"toni",,
"11N3334:0000308",0,1,0,1,0,,,,"toni",,
"11N3334:0000309",0,1,0,1,0,,,,"toni",,
"11N3334:0000310",0,1,0,1,0,,,,"toni",,
"11N3334:0000311",0,1,0,1,"shorter_by_1ft",,,,"toni",,
"11N3338:0000701",0,1,0,0,0,,,,"toni",,
"11N3338:0000703",0,1,1,1,0,,,,"toni",,
"11N3338:0000704",0,1,1,1,0,,,,"toni",,
"11N3338:0000706",1,0,0,0,0,,,,"toni",,
"11N3338:0000709",0,1,1,1,0,,"rudimentary ear",,"toni",,
"11N3338:0000710",0,1,0,0,0,,,,"toni",,
"11N3338:0000711",0,1,0,0,0,,,,"toni",,
"11N3338:0000712",0,1,0,0,0,,,,"toni",,
"11N3339:0000801",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3339:0000804",1,0,0,0,0,,,,"toni",,
"11N3339:0000806",0,1,1,1,0,,,,"toni",,
"11N3339:0000809",0,1,1,1,0,,,,"toni",,
