packetID,ma plantID,pa plantID,num_cl,observer,datetime,packed_packet
P00198,16R205:S0002607,16R0693:0015303,15,avi,05/23/2017 11:56:40,
P00130,16R205:S0002616,16R4445:0009807,15,avi,05/23/2017 11:56:40,
P00137,16R205:S0002711,16R4507:0010903,15,avi,05/23/2017 11:56:40,
P00153,16R205:S0002715,16R4519:0012802,30,avi,05/23/2017 11:56:40,
P00101,16R305:W0000702,16R4481:0005706,15,avi,05/23/2017 11:56:40,
P00197,16R305:W0000711,16R0691:0015106,15,avi,05/23/2017 11:56:40,
P00094,16R305:W0000714,16R4475:0005105,15,avi,05/23/2017 11:56:40,
P00087,16R305:W0001401,16R4467:0004309,15,avi,05/23/2017 11:56:40,
P00127,16R305:W0001406,16R4498:0009505,15,avi,05/23/2017 11:56:40,
P00089,16R305:W0001408,16R4470:0004603,15,avi,05/23/2017 11:56:40,
P00131,16R305:W0001411,16R4393:0009910,15,avi,05/23/2017 11:56:40,
P00157,16R305:W0001416,16R4523:0013207,30,avi,05/23/2017 11:56:40,
P00144,16R305:W0001502,16R4514:0011806,15,avi,05/23/2017 11:56:40,
P00092,16R305:W0001511,16R4473:0004903,15,avi,05/23/2017 11:56:40,
P00135,16R305:W0001607,16R3607:0010403,15,avi,05/23/2017 11:56:40,
P00042,16R305:W0001610,16R4279:0010511,20,avi,05/23/2017 11:56:40,
P00043,16R305:W0001610,16R4279:0010511,20,avi,05/23/2017 11:56:40,
P00096,16R305:W0001612,16R4477:0005303,15,avi,05/23/2017 11:56:40,
P00097,16R305:W0001618,16R4477:0005311,15,avi,05/23/2017 11:56:40,
P00128,16R305:W0002911,16R4499:0009614,15,avi,05/23/2017 11:56:40,
P00154,16R305:W0003006,16R4520:0012908,30,avi,05/23/2017 11:56:40,
P00148,16R305:W0003012,16R4526:0013504,30,avi,05/23/2017 11:56:40,
P00149,16R305:W0003016,16R4528:0013704,30,avi,05/23/2017 11:56:40,
P00062,16R405:M0000808,16R4298:0012403,20,avi,05/23/2017 11:56:40,
P00063,16R405:M0000808,16R4298:0012403,20,avi,05/23/2017 11:56:40,
P00098,16R405:M0001704,16R4477:0005305,15,avi,05/23/2017 11:56:40,
P00088,16R405:M0001705,16R4468:0004411,15,avi,05/23/2017 11:56:40,
P00090,16R405:M0001707,16R4471:0004707,15,avi,05/23/2017 11:56:40,
P00099,16R405:M0001708,16R4477:0005303,15,avi,05/23/2017 11:56:40,
P00022,16R405:M0001811,16R4356:0010005,20,avi,05/23/2017 11:56:40,
P00103,16R4460:0003602,16R4460:0003602,15,avi,05/23/2017 11:56:40,
P00104,16R4460:0003602:0003602,16R4460:0003602:0003602,15,avi,05/23/2017 11:56:40,
P00105,16R4461:0003713,16R4461:0003713,15,avi,05/23/2017 11:56:40,
P00106,16R4461:0003713:0003713,16R4461:0003713:0003713,15,avi,05/23/2017 11:56:40,
P00107,16R4462:0003808,16R4462:0003808,15,avi,05/23/2017 11:56:40,
P00108,16R4462:0003808:0003808,16R4462:0003808:0003808,15,avi,05/23/2017 11:56:40,
P00109,16R4463:0003902,16R4463:0003902,15,avi,05/23/2017 11:56:40,
P00110,16R4463:0003902:0003902,16R4463:0003902:0003902,15,avi,05/23/2017 11:56:40,
P00111,16R4464:0004010,16R4464:0004010,15,avi,05/23/2017 11:56:40,
P00112,16R4464:0004010:0004010,16R4464:0004010:0004010,15,avi,05/23/2017 11:56:40,
P00119,16R4465:0004111,16R4465:0004111,15,avi,05/23/2017 11:56:40,
P00120,16R4466:0004206,16R4466:0004206,15,avi,05/23/2017 11:56:40,
P00113,16R4484:0006001,16R4484:0006001,15,avi,05/23/2017 11:56:40,
P00114,16R4485:0006103,16R4485:0006103:0006103,15,avi,05/23/2017 11:56:40,
P00114,16R4485:0006103:0006103,16R4485:0006103:0006103,15,avi,05/23/2017 11:56:40,
P00115,16R4486:0006204,16R4486:0006204,15,avi,05/23/2017 11:56:40,
P00116,16R4487:0006309,16R4487:0006309,15,avi,05/23/2017 11:56:40,
P00117,16R4488:0006409,16R4488:0006409,15,avi,05/23/2017 11:56:40,
P00118,16R4489:0006503,16R4489:0006503,15,avi,05/23/2017 11:56:40,
P00193,16R0688:0014805,16R0688:0014805,15,avi,05/23/2017 11:56:40,
P00194,16R0689:0014903,16R0689:0014903:0014903,15,avi,05/23/2017 11:56:40,
P00141,16R205:S0000602,16R4007:0011605,20,avi,05/23/2017 11:56:40,
P00196,16R205:S0000603,16R0691:0015106,15,avi,05/23/2017 11:56:40,
P00143,16R205:S0000604,16R4011:0011703,20,avi,05/23/2017 11:56:40,
P00140,16R205:S0000613,16R4513:0011501,20,avi,05/23/2017 11:56:40,
P00200,16R205:S0001111,16R0698:0015802,15,avi,05/23/2017 11:56:40,
P00100,16R205:S0001112,16R4478:0005404,15,avi,05/23/2017 11:56:40,
P00044,16R205:S0001202,10609,20,avi,05/23/2017 11:56:40,
P00045,16R205:S0001202,10609,20,avi,05/23/2017 11:56:40,
P00054,16R205:S0001210,16R4391:0010710,20,avi,05/23/2017 11:56:40,
P00055,16R205:S0001210,16R4391:0010710,20,avi,05/23/2017 11:56:40,
P00070,16R205:S0001303,16R4537:0014611,20,avi,05/23/2017 11:56:40,
P00071,16R205:S0001303,16R4537:0014611,20,avi,05/23/2017 11:56:40,
P00091,16R205:S0001309,16R4472:0004811,15,avi,05/23/2017 11:56:40,
P00192,16R205:S0002604,16R0687:0014708,15,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,avi,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
,,,,toni,05/23/2017 11:56:40,
