plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,datetime,observer,mutanta
16R4391:0010709,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4391:0010710,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4391:0010711,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4391:0010712,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010801,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4392:0010802,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010803,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010804,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010805,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010806,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010807,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4507:0010902,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4507:0010904,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4507:0010907,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4507:0010909,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4507:0010911,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4507:0010912,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4507:0010913,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4508:0011001,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4508:0011002,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4508:0011004,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4508:0011005,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4508:0011006,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4508:0011008,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4508:0011010,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4509:0011101,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4509:0011105,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4509:0011108,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4509:0011110,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4510:0011201,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4510:0011203,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4510:0011204,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4510:0011205,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4510:0011206,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4510:0011207,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4511:0011301,0,1,1,0,0,,,,,07/17/2016 12:00:00,toni,
16R4511:0011302,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4511:0011303,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4511:0011304,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4511:0011305,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
