Sample no.,image no,observer,source,filter,power,exposure (ms),microscopy
e01069,924,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01069,925,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01069,926,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01069,927,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01069,928,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01069,929,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01069,930,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01069,931,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01069,932,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01069,933,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01069,934,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01069,935,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01069,936,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01069,937,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01069,938,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01069,939,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01069,940,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01069,941,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01069,942,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01069,943,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01069,944,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01069,945,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01069,946,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01069,947,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01069,948,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01069,949,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01069,950,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01069,951,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01069,952,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01069,953,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01069,954,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01071,955,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01071,956,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01071,957,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01071,958,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01071,959,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01071,960,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01071,961,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01071,962,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01071,963,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01071,964,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01071,965,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01071,966,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01071,967,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01071,968,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01071,969,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01071,970,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01071,971,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01071,972,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01071,973,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01071,974,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01071,975,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01071,976,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01071,977,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01071,978,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01071,979,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01071,980,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01071,981,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01071,982,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01071,983,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01071,984,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01071,985,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01071,986,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01071,987,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01071,988,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01071,989,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01071,990,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01071,991,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01071,992,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01071,993,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01071,994,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01071,995,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01071,996,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01075,997,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01075,998,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01075,999,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01075,1000,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01075,1001,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01075,1002,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01075,1003,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01075,1004,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01075,1005,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01075,1006,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01075,1007,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01075,1008,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01075,1009,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01075,1010,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01075,1011,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01075,1012,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01075,1013,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01075,1014,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01075,1015,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01075,1016,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01075,1017,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01075,1018,derek,bright,2,10x,2,08/15/2013 0:00:00,
e01075,1019,derek,uv,2,10x,167,08/15/2013 0:00:00,
e01075,1020,derek,uv,2,10x,250,08/15/2013 0:00:00,
e01075,1021,derek,uv,2,10x,333,08/15/2013 0:00:00,
e01075,1022,derek,uv,4,10x,333,08/15/2013 0:00:00,
e01075,1023,derek,uv,4,10x,250,08/15/2013 0:00:00,
e01075,1024,derek,uv,4,10x,167,08/15/2013 0:00:00,
e01075,1025,derek,bright,2,10x,2,08/15/2013 0:00:00,
